gene_name	HQ10E1	HQ10E2	HQE1	HQE2	HQ_ST1	HQ_ST2	PWE1	PWE2	PW_ST1	PW_ST2
Phatr3_J11434	274	337	169	107	208	190	343	250	140	272
Phatr3_J44838	198	184	231	139	927	817	108	83	686	983
Phatr3_J44839	27	55	65	34	17	21	55	40	137	92
Phatr3_EG02075	8	18	15	1	3	9	3	1	6	6
Phatr3_EG02085	0	0	0	1	1	1	1	0	0	0
Phatr3_J11402	1015	1362	1412	882	803	1059	945	1003	801	1013
Phatr3_J11285	1151	1324	1506	984	773	1022	1217	998	676	1095
Phatr3_J11189	5777	6094	3849	3384	1876	2166	7267	7054	1487	2302
Phatr3_J34371	1396	1611	1382	870	186	297	967	969	74	353
Phatr3_EG01298	9	2	8	3	0	2	5	0	4	4
Phatr3_J11337	1623	1887	1823	1300	708	177	1552	1129	359	212
Phatr3_J34373	704	790	883	557	1770	586	559	432	587	435
Phatr3_J44844	574	784	589	384	472	491	654	572	239	441
Phatr3_J44845	1592	2002	2090	1257	1042	750	1471	1579	503	655
Phatr3_EG02080	593	687	708	398	216	237	398	317	75	248
Phatr3_EG02086	183	176	196	143	104	146	151	138	39	65
Phatr3_EG02087	417	568	593	273	162	209	245	229	105	293
Phatr3_EG02347	6256	7416	6502	3697	3067	2517	4280	4203	1672	1987
Phatr3_J44848	1690	2100	2378	1737	563	643	2454	2591	606	935
Phatr3_J11169	488	601	831	523	422	525	431	470	262	422
Phatr3_J44850	1091	1218	1224	727	398	489	604	546	152	428
Phatr3_J44851	423	452	458	296	459	593	259	254	265	451
Phatr3_EG02349	4538	5645	4682	3326	1148	1277	3423	3251	2551	3806
Phatr3_J34384	266	334	343	239	523	709	215	216	346	328
Phatr3_J34385	180	238	217	148	229	287	119	110	181	201
Phatr3_J11259	379	415	507	328	459	619	279	302	322	408
Phatr3_J432	5780	7188	5770	3787	4053	4166	6464	6120	2152	2277
Phatr3_EG01299	101	87	82	105	0	2	144	246	3	1
Phatr3_J44858	965	1073	876	617	807	1123	691	589	268	639
Phatr3_J44859	500	615	396	279	360	409	477	430	198	399
Phatr3_J26515	11150	12722	13719	9083	8777	12581	9677	9452	6770	9864
Phatr3_J34391	380	338	353	258	368	530	228	276	202	338
Phatr3_J34392	3535	4105	4389	3302	2274	3262	3027	3085	2252	3047
Phatr3_J259	1675	1803	1899	1238	463	514	1622	1754	615	714
Phatr3_J44863	684	820	582	373	1157	1519	745	898	952	822
Phatr3_J44864	2134	2130	1736	1465	484	521	2846	2617	2041	2567
Phatr3_EG01325	364	430	575	381	482	516	464	597	887	1010
Phatr3_J11145	492	543	468	271	420	655	528	489	270	271
Phatr3_EG01293	0	0	0	0	0	0	0	0	0	0
Phatr3_J2217	1858	1596	659	1066	8	3	2270	2251	56	189
Phatr3_J44868	1005	1281	1213	773	141	206	879	890	29	112
Phatr3_J1884	7778	8674	8878	7209	1531	2125	6847	7086	1041	2897
Phatr3_EG01283	737	869	646	462	58	60	588	508	36	210
Phatr3_J44871	970	1196	2002	1345	875	1105	1092	1144	1136	1072
Phatr3_J34403	17	48	189	118	682	877	50	44	654	651
Phatr3_J4550	1038	1151	1527	1040	580	779	947	1019	602	641
Phatr3_J19413	9271	11302	9748	6106	2256	3018	8659	8291	1570	3463
Phatr3_J44873	1590	1771	1441	1296	1987	2548	2063	2014	4125	4205
Phatr3_J11308	432	496	727	422	540	639	358	352	948	778
Phatr3_J11477	449	529	508	323	87	97	363	347	64	130
Phatr3_J44874	192	245	139	107	32	31	108	116	21	110
Phatr3_EG01326	1581	1944	1860	1355	1002	1301	1758	1743	2080	2618
Phatr3_J44876	831	921	640	515	40	67	1330	1191	341	649
Phatr3_J44877	734	907	960	539	400	445	701	700	98	203
Phatr3_J44878	1449	1714	2828	1648	2073	2101	1368	1800	1043	1360
Phatr3_J34413	241	215	378	254	130	133	152	255	115	112
Phatr3_J44879	1036	1191	1552	1143	664	829	799	1077	920	1138
Phatr3_J34415	82	88	86	46	478	277	73	80	421	230
Phatr3_J44880	1520	1771	1668	1150	415	407	1232	1364	503	677
Phatr3_J11160	636	834	843	562	902	1183	589	596	571	752
Phatr3_J34418	277	246	286	235	394	571	264	219	279	442
Phatr3_J34419	416	496	482	380	645	878	351	497	644	1196
Phatr3_EG02346	1494	1772	959	667	1389	2149	1734	1432	907	1327
Phatr3_J44882	734	739	760	572	240	358	597	655	131	317
Phatr3_J34422	597	736	803	557	1206	1571	727	841	780	1107
Phatr3_J34423	0	0	1	2	32	47	1	0	24	26
Phatr3_J44884	595	691	902	565	450	565	442	556	549	591
Phatr3_J34425	926	1059	864	687	151	258	600	610	67	217
Phatr3_J44885	744	859	1489	780	551	651	594	716	429	483
Phatr3_J44886	914	986	1091	808	831	1073	1070	1017	671	931
Phatr3_J44887	1439	1650	1581	1147	1334	1646	1392	1469	1543	2065
Phatr3_J44888	2662	3036	2478	1904	628	942	2031	2377	226	690
Phatr3_J44889	966	1216	2069	1455	2999	2724	978	1634	1438	1694
Phatr3_J34431	362	427	574	375	764	805	361	285	359	438
Phatr3_J34433	17	6	18	18	1137	962	3	11	84	332
Phatr3_EG02650	643	821	1094	602	659	854	532	600	408	572
Phatr3_J44892	2382	2717	2708	1996	1215	1708	2587	2768	1275	670
Phatr3_J11391	1430	1613	1112	926	1827	2687	2061	1296	1670	1774
Phatr3_J44894	3194	3602	2896	2087	1572	1697	3128	3553	1585	1587
Phatr3_EG01320	440	503	574	336	882	996	311	321	572	668
Phatr3_J44896	1110	1333	1828	1270	1229	1125	1104	1292	651	696
Phatr3_EG01312	5	1	2	2	12	19	7	0	11	16
Phatr3_J34440	28	33	38	17	83	97	38	35	143	166
Phatr3_J34441	709	885	860	545	794	1146	831	749	948	1133
Phatr3_J44898	1781	2082	1631	1182	63	93	1467	1570	160	496
Phatr3_J44899	3205	3793	3299	2607	1147	1509	2098	1913	1232	1833
Phatr3_J44900	1165	1380	1663	1203	6274	9850	739	992	4507	3174
Phatr3_EG02078	1480	1885	2563	1403	3706	3549	1618	1975	1916	1835
Phatr3_EG02091	1	0	5	3	2	1	2	0	0	1
Phatr3_J44902	7165	7941	7871	5401	6586	8796	9016	9083	7848	13166
Phatr3_J54319	6626	6950	11860	11661	14542	19328	6282	6928	35968	29413
Phatr3_J19427	348	415	545	325	403	410	238	273	243	297
Phatr3_J44905	953	1171	942	683	372	413	683	713	78	199
Phatr3_J44906	481	545	591	440	464	639	368	375	209	317
Phatr3_J44907	521	570	454	404	311	361	386	412	191	338
Phatr3_EG01308	0	0	0	0	0	0	0	0	0	0
Phatr3_EG02076	11186	11715	10872	8834	1812	1886	6697	7432	2895	5112
Phatr3_EG02084	703	807	916	692	184	242	586	659	179	437
Phatr3_J4003	243	322	537	399	1320	1286	223	383	824	823
Phatr3_J44910	801	835	973	659	957	1173	613	628	663	784
Phatr3_J19438	606	674	241	195	470	494	754	589	596	569
Phatr3_J44912	197	220	289	154	517	456	157	108	209	202
Phatr3_J34457	1536	1670	1137	957	557	469	1692	1492	210	327
Phatr3_J26565	357	405	361	299	422	516	368	323	307	438
Phatr3_EG01333	2302	2728	2658	1778	2779	4039	2365	2296	3589	4161
Phatr3_J34460	200	252	153	94	114	142	109	151	76	175
Phatr3_J11235	1464	1602	2863	1774	956	1038	919	1097	939	1263
Phatr3_J44917	457	529	583	279	1186	1139	412	332	711	915
Phatr3_J11403	2777	3141	3990	2579	3828	3917	2946	3193	3290	3099
Phatr3_J44919	541	728	773	444	524	627	577	517	548	681
Phatr3_J44920	105	108	324	167	397	527	130	291	2544	1851
Phatr3_J44921	835	1023	1076	677	720	780	817	843	568	442
Phatr3_J44922	1267	1636	2165	1019	827	1063	1011	797	1250	1262
Phatr3_J44923	670	661	927	566	793	700	566	613	1056	916
Phatr3_EG01317	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01302	0	0	0	0	0	0	0	0	0	0
Phatr3_J34469	0	0	0	0	0	0	0	0	0	0
Phatr3_J44924	8078	8874	6619	5124	1480	1490	6830	6873	2061	2984
Phatr3_J44925	53	95	44	23	0	0	208	68	0	2
Phatr3_J44926	1160	1247	1163	836	659	840	1053	1010	415	821
Phatr3_J44927	697	798	976	528	597	662	437	393	329	589
Phatr3_J54323	4451	4911	5107	4082	2877	3825	3564	3786	3510	4811
Phatr3_EG01330	492	534	632	466	318	349	475	429	255	343
Phatr3_J44929	238	266	383	243	419	428	342	413	474	541
Phatr3_J44930	1074	1158	1213	883	957	1358	953	903	897	1271
Phatr3_J44931	628	731	1267	845	1825	2106	716	760	1947	2139
Phatr3_J44932	447	481	543	397	880	1152	467	473	881	1034
Phatr3_J34479	0	2	0	0	0	0	2	0	0	2
Phatr3_J708	612	668	118	96	524	401	1413	731	337	534
Phatr3_J44934	948	1052	1697	1165	2613	3768	1005	1082	3834	4658
Phatr3_J44935	1850	2248	3013	1553	1323	1069	1178	1633	834	905
Phatr3_J44936	432	482	498	338	48	61	492	482	235	429
Phatr3_J34484	201	332	421	230	394	563	181	202	210	295
Phatr3_J34485	640	726	535	421	63	99	431	432	24	136
Phatr3_J2808	1454	1764	1749	1238	783	958	1195	1273	561	1028
Phatr3_EG02345	3655	4325	4645	2991	2836	3180	3245	3102	2212	2750
EPrPhatr3G00000013134	0	0	0	0	0	0	0	0	0	0
PTsRNA00021b	0	0	0	0	0	0	0	0	0	0
PTsRNA00021a	0	0	0	0	0	0	0	0	0	0
Phatr3_J34489	414	486	817	603	1471	2075	382	495	847	847
Phatr3_EG01331	2	1	2	3	0	3	3	7	1	2
Phatr3_J51757	3148	4025	2751	1825	4438	5817	5208	4592	10743	6556
Phatr3_J11128	7	3	6	10	33	17	10	6	13	44
Phatr3_EG01291	88	75	231	173	257	308	97	129	105	266
Phatr3_J44942	289	359	37	29	126	139	630	381	61	79
Phatr3_EG01303	0	0	0	0	0	0	0	0	0	0
Phatr3_J34493	4601	5116	3821	3027	2472	3149	4970	4598	3044	4080
Phatr3_J44944	1086	1254	1609	930	843	1116	982	1156	510	372
Phatr3_J11459	956	1021	1157	968	289	424	764	919	411	605
Phatr3_EG01339	0	0	0	0	0	0	0	0	0	0
Phatr3_J11363	199	193	197	190	334	413	185	225	254	227
Phatr3_EG01300	0	0	0	0	0	0	0	0	0	0
Phatr3_J44947	2156	2817	3368	1869	770	969	1965	2129	370	660
Phatr3_J54326	192	215	255	194	185	326	185	204	205	238
Phatr3_J44949	2523	2797	2810	1991	834	1374	1856	2059	798	796
Phatr3_J11319	6	8	9	26	15	34	1	11	6	11
Phatr3_EG01294	0	0	0	0	0	0	0	0	0	0
Phatr3_J44950	647	757	818	509	569	697	612	631	1184	1132
Phatr3_J11414	1200	1342	413	303	312	505	1507	1291	1107	1060
Phatr3_EG01304	1113	1291	1655	1023	116	150	991	1029	108	325
Phatr3_J44951	1544	1803	2623	1630	1991	2171	1600	1939	3401	3196
Phatr3_J44952	751	993	1296	997	1593	1986	683	704	1030	1247
Phatr3_J51761	778	934	1160	601	12666	9062	776	765	1666	3008
Phatr3_J11472	25	41	59	41	111	109	59	127	74	72
Phatr3_J11401	920	1146	1297	707	527	688	843	952	184	444
Phatr3_J1800	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01292	0	0	0	0	0	0	0	0	0	0
Phatr3_J11192	951	1109	1352	764	1006	1253	896	791	431	714
Phatr3_EG01318	719	775	935	695	722	901	521	637	533	690
Phatr3_J34505	1394	1411	1028	714	859	1127	1539	1258	914	957
Phatr3_J19482	755	963	1143	645	820	1098	613	568	493	808
Phatr3_EG01306	0	0	0	0	0	0	0	0	0	0
Phatr3_J44955	18301	19509	20744	19078	6703	7574	12789	15610	12893	19784
Phatr3_J11352	1899	2247	2227	1374	1371	1408	1667	1720	1263	1453
Phatr3_EG01314	1312	1463	1885	1237	643	628	1107	1151	467	489
Phatr3_J54330	758	832	900	563	979	872	1018	1212	722	711
Phatr3_J1874	6116	7145	5330	3701	3124	3982	6022	5662	2649	4112
Phatr3_EG02089	0	0	0	0	0	0	0	0	0	0
Phatr3_EG02081	14	18	26	18	103	36	12	15	3	18
Phatr3_J54331	766	845	821	635	331	436	579	579	229	314
Phatr3_J11204	2869	3237	3503	3506	4121	5794	2984	3822	6818	7999
Phatr3_EG01337	251	247	362	241	136	197	177	210	21	53
Phatr3_EG01279	471	523	531	428	421	610	458	397	209	330
Phatr3_EG01307	92	91	171	117	93	85	60	41	48	68
Phatr3_EG01282	440	531	541	436	199	344	420	449	125	256
Phatr3_EG01315	1053	1275	1434	1047	2418	2689	979	898	1732	1459
Phatr3_J44959	2262	2767	1949	1651	729	1025	2035	1898	354	693
Phatr3_J41886	302	336	452	285	563	656	167	174	148	264
Phatr3_J34514	491	574	618	360	202	262	409	325	148	294
Phatr3_J44961	1056	1229	1452	1036	1232	1478	852	957	659	809
Phatr3_EG02348	444	521	424	296	539	1006	431	387	399	466
Phatr3_J44962	169	165	144	139	345	389	142	146	463	364
Phatr3_J44963	651	710	874	552	2774	4291	641	525	3145	2535
Phatr3_J34520	528	609	755	537	436	630	642	715	233	567
Phatr3_J34521	548	563	608	479	76	118	385	425	28	80
Phatr3_J34522	593	598	727	582	95	120	392	360	26	94
Phatr3_J11126	979	1160	780	527	345	461	1007	947	174	351
Phatr3_J5424	325	365	281	209	343	497	394	232	302	550
Phatr3_J5532	393	434	415	269	463	610	438	334	565	695
Phatr3_J34526	2868	3118	2020	1712	828	1457	2986	2670	324	995
Phatr3_EG02353	553	715	1246	681	1024	987	619	710	670	621
Phatr3_J34528	188	208	229	199	294	343	148	148	184	215
Phatr3_J34529	164	244	307	178	245	359	100	155	170	262
Phatr3_J44967	515	604	786	540	1101	1319	504	524	590	706
Phatr3_J34531	339	411	431	233	755	1123	384	381	616	532
Phatr3_J44968	456	481	263	222	2860	3091	683	708	5978	4356
Phatr3_J44969	900	1119	1542	916	856	827	662	757	863	924
Phatr3_J34534	104	107	147	98	63	63	62	75	87	127
Phatr3_EG01327	5	10	1	1	4	1	1	4	0	1
Phatr3_J44970	383	455	91	44	216	277	601	288	87	287
Phatr3_J34536	17067	19126	15447	15072	478	710	15602	14489	1025	2100
Phatr3_J44971	17212	20481	22239	13228	3371	4707	14780	13910	2466	5377
Phatr3_J34538	3022	3372	1977	1533	819	1196	2835	2570	976	1580
Phatr3_J26635	3807	4166	3446	2791	1235	1942	3717	3272	1123	737
Phatr3_J44973	1301	1498	1836	1102	1604	1747	1092	1392	2026	1510
Phatr3_J44974	1208	1506	1517	981	902	879	1185	1193	584	611
Phatr3_J44975	397	509	417	338	466	557	488	457	210	576
Phatr3_J11462	511	706	916	546	1645	2153	538	479	1684	2046
Phatr3_J34543	58	74	128	71	172	243	76	76	111	182
Phatr3_EG01281	913	941	701	576	728	1053	1052	992	827	970
Phatr3_J19513	1318	1435	1390	1074	1118	1139	1312	1261	847	1024
Phatr3_J44977	318	324	385	269	411	739	234	289	242	349
Phatr3_J44978	1307	1493	1076	871	309	418	1368	1178	544	960
Phatr3_J44979	123	151	222	161	120	150	77	82	94	104
Phatr3_EG01297	0	0	0	0	0	0	0	0	1	0
Phatr3_J44980	3384	3853	4737	3428	928	912	1496	2003	1249	3687
Phatr3_J34549	7	11	5	8	120	133	5	8	28	94
Phatr3_J44981	204	233	316	228	410	660	215	226	438	364
Phatr3_J34551	1	4	0	1	11	8	2	0	6	6
Phatr3_J44982	35	33	37	23	57	68	38	18	31	96
Phatr3_EG01329	0	0	0	0	0	0	0	0	0	0
Phatr3_EG02355	5386	5801	5107	3639	1976	2167	4682	4219	1738	2110
Phatr3_J34555	148	176	191	114	263	253	114	115	86	170
Phatr3_J34556	603	784	1037	684	906	1293	571	558	522	733
Phatr3_J6725	241	260	303	161	320	427	249	230	168	330
Phatr3_J11318	21	22	121	73	550	877	18	14	329	269
Phatr3_J19518	837	906	1065	877	2941	4469	928	796	1105	800
Phatr3_J44987	113	140	271	135	844	956	70	88	504	447
Phatr3_J11373	109	129	119	89	1388	2045	221	281	2961	3515
Phatr3_J44989	904	1059	1256	826	587	563	756	704	262	416
Phatr3_EG01316	1071	1281	1330	855	591	683	919	972	427	573
Phatr3_J34564	91	146	135	60	42	64	148	89	9	39
Phatr3_EG01338	13	11	17	4	16	17	4	14	7	5
Phatr3_EG01335	0	0	1	0	0	0	0	0	0	0
Phatr3_J44991	280	278	214	146	305	368	172	168	130	180
Phatr3_J34566	137	175	114	113	45	56	179	128	34	58
Phatr3_J26649	259	403	510	351	354	487	263	304	288	243
Phatr3_J44993	293	423	534	324	226	281	294	250	143	189
Phatr3_EG02356	449	552	983	719	15379	11542	398	403	1697	4358
Phatr3_J8537	167	167	408	208	1647	1285	143	196	353	666
Phatr3_J44997	1113	1235	1337	1034	621	801	1089	1207	363	575
Phatr3_J11198	1310	1624	2554	1687	889	1396	1747	2131	1536	1623
Phatr3_J44999	1055	1255	1301	854	1301	1831	1080	832	803	952
Phatr3_J7755	1098	1187	1420	789	633	733	1572	1238	1923	1962
Phatr3_J34576	2	0	0	3	0	0	0	1	0	0
Phatr3_EG01323	0	0	0	0	0	0	0	0	0	0
Phatr3_J45001	294	264	200	126	888	1098	238	245	827	747
Phatr3_J11311	346	422	645	419	314	308	375	349	337	312
Phatr3_J45002	3172	3823	4249	2958	3249	4611	3669	3801	3512	4483
Phatr3_J45003	480	579	578	382	352	508	456	395	295	316
Phatr3_J11271	439	516	569	464	1160	1733	612	574	2819	2239
Phatr3_J34582	2166	2258	1653	1301	135	190	2324	2286	294	597
Phatr3_J11305	3145	3515	3639	2517	2969	4295	2776	2589	2207	2848
Phatr3_J34584	1675	2038	1691	1149	431	514	1135	981	527	978
Phatr3_J45006	3029	3437	3084	2158	2459	2711	3005	2913	1892	1915
Phatr3_J34586	168	170	174	108	106	95	194	127	354	218
Phatr3_EG01313	0	0	0	0	0	0	0	0	0	0
Phatr3_J34587	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01284	0	0	0	0	0	0	0	0	0	0
Phatr3_J34588	548	598	605	352	293	399	394	425	230	346
Phatr3_J8185	9156	11557	10212	6467	1379	2056	8522	7716	1149	2247
Phatr3_J34590	1440	1679	1733	1277	19	14	1343	1221	6	74
Phatr3_J45008	5075	5868	4298	3470	706	1178	4443	4466	649	1384
Phatr3_J34592	128	163	80	44	14	6	115	83	5	14
Phatr3_J45009	715	936	1001	722	416	716	658	657	434	432
Phatr3_EG01296	1838	2547	3594	1938	1354	1511	2088	2348	1787	1702
Phatr3_J45011	147	211	109	100	36	53	287	211	48	51
Phatr3_J45012	378	430	360	264	981	879	1009	807	835	789
Phatr3_J45013	414	474	475	377	82	80	541	401	135	200
Phatr3_J45014	752	862	766	618	554	577	776	814	357	592
Phatr3_J11368	1075	1228	1966	1408	1627	1524	1115	1414	1931	1337
Phatr3_J34600	166	191	167	90	70	85	105	93	99	121
Phatr3_J45016	4414	4951	2629	2171	366	559	4822	3979	1295	1849
Phatr3_J45017	7312	7927	4466	3871	4618	6876	8525	9602	6257	10913
Phatr3_EG01288	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01289	0	0	0	0	0	0	0	0	0	0
Phatr3_J34603	0	0	0	0	0	0	0	0	0	0
Phatr3_J45018	3	7	2	10	15	20	1	2	1	5
Phatr3_EG01309	0	0	0	0	0	0	0	0	0	0
Phatr3_J45019	1199	1486	1582	933	789	1092	830	713	297	770
Phatr3_J45020	774	835	977	689	685	778	686	866	573	648
Phatr3_EG02350	277	291	353	267	2438	3294	214	145	905	978
Phatr3_J5543	0	0	0	0	0	0	0	0	0	0
Phatr3_J34610	224	231	396	211	304	401	198	154	216	302
Phatr3_J34611	47	54	26	13	76	40	71	50	29	129
Phatr3_J11336	273	292	113	68	50	45	565	392	99	74
Phatr3_J45024	919	983	990	627	550	646	770	816	631	792
Phatr3_J45025	373	359	491	344	1654	1464	249	184	892	1038
Phatr3_J50848	459	519	356	213	354	394	433	349	258	501
Phatr3_J45027	288	339	458	249	468	555	245	199	267	385
Phatr3_J45028	9987	10929	11702	9962	27292	36975	11446	13083	57080	47449
Phatr3_EG01280	531	589	961	692	1997	2889	507	612	1809	2248
Phatr3_J45029	1196	1347	1755	1242	1516	2144	819	970	1192	1645
Phatr3_J11151	1647	1902	1163	796	486	656	1733	1298	424	704
Phatr3_J45031	0	0	0	0	10	11	0	0	4	4
Phatr3_J45032	2094	2405	3015	2027	1872	2161	1992	2357	2200	1828
Phatr3_J34622	408	577	640	389	981	1200	413	347	520	588
Phatr3_J45033	1781	2182	2680	1821	1753	2230	2158	2273	2223	2403
Phatr3_J45034	1428	1504	1045	1048	495	733	1423	1522	432	771
Phatr3_J34625	7	15	113	61	3	3	14	8	47	256
Phatr3_J34626	0	0	0	0	52	16	0	0	0	0
Phatr3_J11423	2534	2770	2019	1874	7275	11781	4109	4072	14875	11918
Phatr3_EG01355	2	0	0	0	0	0	0	0	0	0
Phatr3_J34628	4	2	6	12	14	12	2	2	4	9
Phatr3_J45036	775	827	921	675	892	1188	603	708	814	1026
Phatr3_J34630	68	59	64	62	112	162	65	47	105	97
Phatr3_J34631	545	559	680	453	464	576	483	392	380	572
Phatr3_J34632	352	348	443	282	402	560	283	290	377	486
Phatr3_J34633	565	845	792	438	460	646	482	302	323	526
Phatr3_J45037	1091	1263	1454	1123	1493	1650	990	1050	590	1140
Phatr3_EG01422	355	477	595	397	569	691	276	291	184	237
Phatr3_J19552	3112	3367	709	555	444	647	3969	3042	289	986
Phatr3_J34636	42	43	53	29	312	348	24	30	42	97
Phatr3_J45039	1171	1205	1054	841	505	700	988	1088	447	670
Phatr3_J34638	398	450	552	353	205	284	336	339	116	163
Phatr3_J34639	539	584	631	398	583	778	517	435	325	436
Phatr3_EG01394	390	453	616	389	628	856	375	336	618	671
Phatr3_J34640	22	36	49	28	95	107	38	27	31	116
Phatr3_J45040	331	370	1120	903	7863	10993	286	464	11488	12422
Phatr3_J34642	288	309	207	152	52	94	251	228	82	138
Phatr3_J45041	522	646	614	424	286	410	539	508	96	214
Phatr3_J45043	2472	2999	2450	1920	3114	4031	3156	2768	4034	4825
Phatr3_J11674	3018	3544	3885	2730	3965	4504	3644	4283	8264	9316
Phatr3_J34647	701	881	581	407	192	290	634	497	167	273
Phatr3_J45045	9	6	57	23	173	258	9	6	258	185
Phatr3_J45046	60	82	169	87	214	264	44	48	192	204
Phatr3_J34650	202	261	327	180	225	284	183	182	184	203
Phatr3_J11792	4116	4993	5340	3514	3034	3808	3285	3200	3121	3315
Phatr3_J45048	160	206	318	286	912	1334	105	106	325	344
Phatr3_J11741	6369	6772	6626	5181	6849	8175	6382	6266	7454	9226
Phatr3_J45050	3550	3956	4388	3206	1433	1097	2948	3015	1323	2647
Phatr3_J45051	1001	1263	1472	862	1022	962	909	907	577	682
Phatr3_J34656	374	437	540	311	27	11	303	396	15	43
Phatr3_J6817	408	439	496	331	194	238	385	347	104	223
Phatr3_J45053	1677	1824	3113	2170	7816	9905	1679	2171	10441	12326
Phatr3_J45054	178	208	411	333	1423	1366	466	752	3839	4026
Phatr3_J45055	305	442	555	435	331	472	399	467	707	758
Phatr3_J41894	1484	1635	1881	1281	1296	1388	1277	1155	764	1184
Phatr3_EG01393	276	340	500	358	443	560	191	234	324	354
Phatr3_EG01388	152	137	173	159	84	50	193	262	143	108
Phatr3_J45057	1645	1904	2799	1811	1922	2074	2367	2753	2110	1992
Phatr3_J45058	1205	1516	1173	853	727	935	1556	1353	858	1048
Phatr3_J45059	661	692	880	523	1623	2079	634	571	1126	1480
Phatr3_J45060	5860	6893	5826	3730	5849	6895	8323	8185	23650	22061
Phatr3_J45061	138	118	257	247	168	272	114	221	317	262
Phatr3_J45062	778	1015	858	550	237	305	377	343	335	407
Phatr3_J11673	2179	2558	2873	2023	3821	5486	2091	2004	4185	4599
Phatr3_J45064	716	859	791	679	243	358	699	686	240	440
Phatr3_EG01360	1625	1875	1440	1056	246	331	1306	1238	46	412
Phatr3_EG01364	790	866	661	453	72	119	789	805	291	696
Phatr3_J45065	399	458	587	358	610	869	318	323	477	439
Phatr3_EG01367	1309	1658	1288	979	1005	1475	1223	983	845	1027
Phatr3_J7173	2707	3159	2931	2104	294	537	2508	2264	64	327
Phatr3_J34672	161	240	328	254	244	350	161	155	97	163
Phatr3_J19568	1093	1280	355	255	340	466	1699	1246	356	616
Phatr3_EG01379	102	123	118	83	88	92	247	244	223	1006
Phatr3_J45068	11811	13468	9527	8115	872	1291	13731	13490	482	3542
Phatr3_J34675	461	551	583	417	567	799	361	275	483	847
Phatr3_J45070	6525	8222	8298	5717	2961	3115	6195	7202	2581	5054
Phatr3_EG02369	2442	3161	3006	1698	457	461	1641	1654	383	829
Phatr3_J45073	2724	3049	2843	2142	647	855	3216	3737	926	1915
Phatr3_J45074	24	36	55	35	145	174	18	24	140	128
Phatr3_EG01370	92	125	173	79	226	294	82	68	124	152
Phatr3_J34681	826	968	989	834	434	614	859	775	551	618
Phatr3_EG02370	544	685	658	466	265	448	616	541	336	453
Phatr3_J11793	184	193	334	222	1416	1172	196	240	324	729
Phatr3_J34685	96	110	226	123	1097	926	197	345	7887	7232
Phatr3_J45079	228	219	81	48	457	511	439	300	634	811
Phatr3_J45080	244	320	436	315	519	921	200	171	116	114
Phatr3_EG02100	1183	1472	1806	1099	842	1103	1027	1139	917	1614
Phatr3_EG02097	970	1181	1073	675	450	667	812	741	169	335
Phatr3_J7876	846	996	895	703	789	1152	749	751	539	741
Phatr3_J45083	1550	1852	1735	1086	1066	1439	1810	2072	1652	1329
Phatr3_J45084	902	1142	1272	808	1244	1161	1097	1048	1459	1426
Phatr3_J19579	2047	2081	1131	980	733	1016	2180	2199	413	724
Phatr3_J45086	220	249	426	268	585	706	258	300	552	848
Phatr3_J34694	213	281	163	137	354	453	300	226	141	289
Phatr3_J45087	112	145	255	163	407	456	101	115	622	1056
Phatr3_J45088	937	1021	1154	952	455	808	921	893	585	923
Phatr3_J11559	2498	2943	3116	2247	925	968	2663	2991	3062	2023
Phatr3_J34698	14	9	10	8	34	36	16	7	102	70
Phatr3_J19586	912	985	496	361	6096	6348	800	659	2407	1743
Phatr3_J45091	708	852	1448	914	872	1142	675	990	1338	703
Phatr3_EG01387	16	9	0	5	50	63	37	10	44	58
Phatr3_J26714	107	118	27	24	143	229	334	92	416	371
Phatr3_EG01357	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01404	0	2	3	0	0	1	2	1	0	1
Phatr3_J11799	0	1	1	0	0	1	0	0	0	0
Phatr3_J45094	28	29	33	19	8	11	25	23	14	14
Phatr3_J54342	0	5	1	2	35	24	4	1	91	59
Phatr3_J45096	74	102	145	76	325	313	69	52	251	317
Phatr3_J45097	62	101	134	80	49	37	77	66	46	68
Phatr3_EG01366	1	0	0	0	7	5	0	1	0	0
Phatr3_J45098	824	887	662	553	800	1288	765	799	516	249
Phatr3_EG01378	0	0	0	0	0	0	0	0	0	0
Phatr3_J34708	59	45	27	10	36	63	124	36	469	640
Phatr3_J45099	50	50	11	1	57	116	47	45	246	155
Phatr3_J34710	107	156	265	143	65	100	156	70	222	296
Phatr3_J54343	606	756	700	425	426	595	688	655	451	780
Phatr3_J34712	723	828	938	612	898	983	527	608	682	797
Phatr3_J11652	1403	1530	963	798	645	897	1505	1342	696	1168
Phatr3_J45104	936	1082	1555	958	2797	2622	1004	966	1852	2064
Phatr3_J34715	228	247	255	195	221	312	403	393	332	488
Phatr3_J34716	92	107	233	157	131	108	213	290	347	364
Phatr3_J11690	132	156	205	158	87	121	129	113	71	88
Phatr3_J45108	380	475	583	341	147	258	348	405	154	265
Phatr3_J45109	766	817	1020	708	849	1089	847	801	1828	1783
Phatr3_J3664	577	711	892	573	327	445	496	516	187	234
Phatr3_J45110	223	277	479	285	414	497	264	276	308	868
Phatr3_J45111	135	161	228	125	328	506	118	127	232	310
