gene_name	HQ10E1	HQ10E2	HQE1	HQE2	HQ_ST1	HQ_ST2	PWE1	PWE2	PW_ST1	PW_ST2
Phatr3_J42672	1289	1447	1346	955	938	1131	1261	1448	1628	2194
Phatr3_J42673	5073	5361	3157	2665	1676	2177	4850	4466	1340	2135
Phatr3_J31713	282	336	146	100	81	95	259	263	54	140
Phatr3_J8658	1573	1973	1857	1215	1688	2126	1431	1451	1099	1331
Phatr3_J42675	1827	2017	1950	1408	1280	1230	1619	1591	1240	1253
Phatr3_J42676	386	426	391	247	194	265	293	276	142	246
Phatr3_J42677	2464	2751	2253	1623	382	537	2611	2498	290	794
Phatr3_J31718	1505	1582	223	223	623	702	2648	1696	495	938
Phatr3_J53967	193	237	324	228	165	163	308	188	1816	18442
Phatr3_J9164	947	1024	1039	759	845	1116	718	702	709	1358
Phatr3_J42680	294	297	300	211	37	52	141	94	10	80
Phatr3_J31722	203	253	290	181	280	430	184	176	146	219
Phatr3_J9251	813	971	1100	663	671	914	740	725	461	723
Phatr3_J17401	3574	4201	4200	2889	2867	3688	4417	4252	2342	3444
Phatr3_J31725	649	632	255	185	549	612	909	603	343	748
Phatr3_J42683	978	1086	1293	854	745	521	1041	1152	884	822
Phatr3_J1550	1627	1799	1567	1136	770	814	1291	1394	473	814
Phatr3_J42685	210	231	228	154	751	338	171	128	437	600
Phatr3_J42686	57	60	65	56	87	131	81	76	55	175
Phatr3_J42687	1272	1560	1951	1284	1126	1353	1223	1450	1163	1349
Phatr3_J31731	1245	1484	922	628	699	1116	1158	922	101	203
Phatr3_EG02466	2677	2854	3695	2617	2085	2183	1995	2572	1099	1481
Phatr3_J42689	9545	11955	12483	7409	8040	8689	12226	12711	5682	5694
Phatr3_J42690	459	561	653	374	651	1206	369	308	615	220
Phatr3_J53969	1783	2028	1873	1255	548	503	1327	1311	281	581
Phatr3_J17408	2574	2847	3192	2198	1406	1603	2463	2576	1179	1286
Phatr3_J6915	1362	1510	1871	1117	684	505	1284	1251	202	300
Phatr3_J42694	1994	2046	2511	1813	1143	1214	1535	1956	992	989
Phatr3_J41667	827	828	931	641	1141	1566	570	550	656	991
Phatr3_J31740	240	352	449	359	352	520	218	250	168	376
Phatr3_J31741	110	92	169	139	185	254	87	120	204	279
Phatr3_J8976	2848	2885	2407	1586	1653	2384	2479	2769	1164	1793
Phatr3_EG02477	32068	37685	32217	20609	5230	7401	29916	28472	3046	7570
Phatr3_J42697	3726	4355	3068	2044	654	852	2389	2054	210	1244
Phatr3_J42698	554	669	787	593	379	306	461	445	325	319
Phatr3_J42699	374	443	651	527	286	396	426	417	240	362
Phatr3_J24547	2486	2717	2461	2037	1321	1620	2196	2560	1505	1896
Phatr3_J31748	976	1190	1197	774	153	180	803	879	70	215
Phatr3_J42701	836	985	1044	795	808	993	646	830	575	884
Phatr3_EG02470	577	670	905	557	422	490	440	565	631	889
Phatr3_J9200	2161	2227	2681	1644	2403	2795	1793	1892	2382	2336
Phatr3_EG02473	324	353	439	299	483	650	248	272	435	558
Phatr3_J31753	115	159	213	157	187	271	90	137	129	159
Phatr3_EG02172	2157	2247	2073	1852	856	652	1929	2335	1734	1600
Phatr3_EG02178	1247	1524	1726	1046	806	1108	1114	1199	1186	1659
Phatr3_J9277	197	243	335	279	752	963	126	158	456	693
Phatr3_J42708	148	208	386	256	186	212	130	207	89	116
Phatr3_J9547	797	911	829	608	604	737	565	484	415	716
Phatr3_J8720	4071	4255	3775	2670	1439	2075	3765	3801	1014	1525
Phatr3_EG01773	2344	2808	2665	1739	1910	2394	2483	2408	921	1159
Phatr3_J9427	170	166	188	121	236	303	112	109	196	262
Phatr3_J9490	1126	1273	678	410	1059	1183	929	710	1061	1074
Phatr3_J42712	5945	6418	4595	2782	2445	3301	5033	4642	2503	3757
Phatr3_J31763	464	650	565	420	454	680	515	537	281	340
Phatr3_J31764	331	323	686	477	704	819	360	425	744	911
Phatr3_J8686	25881	30541	32865	18266	7859	10212	21709	20775	3769	7209
Phatr3_EG02471	1609	1813	2167	1235	2019	2474	1130	1162	1126	1333
Phatr3_J6927	1061	1306	1702	1065	2182	2170	847	841	1315	1306
Phatr3_J31768	1338	1485	757	476	656	859	1282	861	501	764
Phatr3_J6258	1403	1445	288	174	303	363	2139	1490	339	548
Phatr3_J8940	1093	1186	1428	1042	306	421	674	792	242	600
Phatr3_J9011	863	878	954	606	765	988	671	642	578	937
Phatr3_J31772	109	116	211	155	241	218	86	85	192	207
Phatr3_J42720	1133	1217	1153	919	604	877	1067	1059	525	785
Phatr3_J42721	3965	4578	3732	3141	1905	2237	4460	4457	1479	2840
Phatr3_J42722	2124	2724	2825	1693	1241	1300	2005	1698	1021	1267
Phatr3_EG02478	305	304	367	266	238	395	207	207	139	282
Phatr3_EG02480	29	25	34	27	64	49	13	47	29	20
Phatr3_EG02433	2746	2985	2651	1858	817	1077	2646	2490	1182	1746
Phatr3_J1784	1302	1549	2221	1592	478	622	1158	1718	2134	1961
Phatr3_J31778	818	1007	1185	714	1369	1777	899	892	1585	1465
Phatr3_J8717	1007	1044	1258	832	745	848	968	984	979	1148
Phatr3_J42726	6668	6754	2702	2363	256	324	2440	1942	151	1250
Phatr3_J31781	194	190	160	95	27	21	26	39	1	72
Phatr3_J3362	1917	2215	2858	1824	2736	3137	2586	2580	3613	3401
Phatr3_J8950	7751	8815	9769	7552	2588	3288	6580	6971	2284	2354
Phatr3_EG01868	0	0	0	0	0	0	0	0	0	0
Phatr3_J42729	990	1046	1113	718	537	588	1096	1036	493	636
Phatr3_EG02463	2099	2181	2218	1595	2479	2837	1767	1727	1959	2209
Phatr3_J8657	704	828	983	669	626	538	569	577	439	417
Phatr3_J42732	245	289	366	270	293	327	196	221	109	152
Phatr3_J9040	2345	2460	2439	2389	2029	2482	2526	2711	2772	3373
Phatr3_J9255	2867	3384	2169	1605	239	285	2762	2524	146	691
Phatr3_J42734	828	985	1372	1208	99	186	518	704	170	589
Phatr3_J42735	1358	1572	1725	1031	844	842	1234	1237	874	778
Phatr3_EG02467	937	1182	1322	855	3250	4618	841	939	2718	2554
Phatr3_J3527	292	356	312	215	234	268	346	303	178	245
Phatr3_EG02468	828	978	1160	744	822	947	820	786	906	1151
Phatr3_EG02476	842	1124	1274	648	1081	1314	748	576	662	907
Phatr3_J42740	638	705	939	564	1476	1783	468	460	814	918
Phatr3_EG02469	1424	1634	1359	1163	679	844	1139	1366	539	781
Phatr3_J42742	7325	8996	8470	4748	2061	2752	4656	4069	1914	3284
Phatr3_J42743	1027	1036	980	796	797	772	690	605	378	657
Phatr3_EG01876	0	0	0	0	0	0	0	0	0	0
Phatr3_J42744	390	415	614	409	627	881	313	282	325	526
Phatr3_J8917	976	998	1430	1122	1385	1417	898	1032	827	1333
Phatr3_J42746	206	284	530	340	203	242	193	159	627	982
Phatr3_J24610	28789	33972	36212	28962	4236	6587	27476	26862	11928	21918
Phatr3_EG01852	5750	6494	5964	4163	1984	2548	4283	4288	1489	2698
Phatr3_J9266	122	186	251	136	231	268	72	59	103	213
Phatr3_J42749	3036	3195	3020	2219	1163	1193	2314	2550	939	1259
Phatr3_J42750	1237	1276	1035	779	221	289	679	626	111	290
Phatr3_EG02465	1351	1671	1770	1085	477	559	1051	1004	780	797
Phatr3_EG02475	785	1049	1327	766	1398	1328	615	692	685	891
Phatr3_EG02481	1420	1478	1798	1215	245	70	1275	1938	227	119
Phatr3_EG02472	2410	2590	3132	1756	2434	2565	2014	2153	1504	1747
Phatr3_J31810	378	396	400	263	1769	2575	375	387	1560	1454
Phatr3_J31811	2443	2933	1986	1422	856	1179	2473	2342	826	1074
Phatr3_J41676	1156	1248	1346	1088	74	105	1254	1042	98	265
Phatr3_J42754	4371	4839	3916	2866	1570	1460	4637	4755	1271	1588
Phatr3_J42755	2255	2531	1661	1197	2952	5005	2521	2396	476	2772
Phatr3_EG01783	0	0	0	0	0	0	0	0	0	0
Phatr3_J31815	0	2	0	0	0	1	0	0	0	2
Phatr3_EG01861	0	0	0	0	0	0	0	0	0	0
Phatr3_J31816	453	499	536	401	189	125	335	431	157	115
Phatr3_J42756	1392	1669	2099	1334	1510	1565	1329	1341	1351	1473
Phatr3_J42757	10948	11328	10553	7827	4008	5315	8613	9152	2422	4041
Phatr3_J31819	368	377	274	223	321	458	320	379	305	476
Phatr3_J42758	3998	4938	4619	3167	2718	2921	4539	5034	3597	3460
Phatr3_J8772	4580	5298	5600	3300	1190	1181	2937	2219	1590	1879
Phatr3_EG01875	0	0	0	0	0	0	0	0	0	0
Phatr3_J31822	130	146	113	47	128	138	510	439	1198	1954
Phatr3_J17487	3105	3374	1760	1299	772	1084	3561	3065	580	1098
Phatr3_J8993	811	1012	832	590	930	1332	867	667	501	900
Phatr3_EG01853	200	293	39	37	25	26	502	557	85	117
Phatr3_J42762	567	712	754	592	649	792	651	670	1054	1294
Phatr3_J6580	653	705	822	594	243	344	509	607	213	392
Phatr3_J31827	839	899	817	825	1032	1739	645	758	831	1159
Phatr3_J42763	1213	1433	1075	964	2549	4327	1163	1182	2720	675
Phatr3_J6934	1297	1570	1585	964	653	681	1350	1427	675	847
Phatr3_J9609	6457	7681	5298	3972	6094	8793	7028	6780	3870	6799
Phatr3_J9078	3802	4198	5824	4124	1468	1954	3132	2946	2677	4502
Phatr3_J31831	148	174	239	178	611	900	105	107	420	487
PTsRNA00017a	0	0	0	1	0	9	0	0	0	0
EPrPhatr3G00000013130	0	0	0	0	0	0	0	0	0	0
PTsRNA00023b	0	0	0	0	0	0	0	0	0	0
PTsRNA00023a	0	0	0	0	0	0	0	0	0	0
Phatr3_J8670	6342	6926	5536	5053	4275	6100	5885	5401	2983	4383
Phatr3_J42767	816	886	1219	848	942	1108	645	844	1054	1483
Phatr3_J31834	988	1083	737	618	72	85	957	604	43	54
Phatr3_J31835	91	112	63	50	26	66	54	52	14	25
EPrPhatr3G00000013122	0	0	0	0	0	0	0	0	0	0
PTsRNA00023c	0	0	0	0	0	0	0	0	0	0
PTsRNA00023d	0	0	0	0	0	0	0	0	0	0
EPrPhatr3G00000013120	7	4	12	6	80	111	1	4	27	34
Phatr3_J42768	821	957	965	769	796	1109	871	759	242	531
Phatr3_EG01817	1	2	0	0	0	0	1	0	0	2
Phatr3_EG01764	806	892	917	491	320	482	658	726	127	361
Phatr3_J42770	1828	2115	2798	1958	1468	1393	1457	2084	1380	1185
Phatr3_J17495	2156	2550	2728	1792	1617	2113	1710	1677	1528	1763
Phatr3_J31840	429	478	650	378	1204	1644	391	369	1172	1094
Phatr3_J31841	234	330	201	135	135	207	278	198	50	127
Phatr3_J7349	2217	2990	1725	1148	565	1042	2578	2299	453	1161
Phatr3_J8945	3624	4041	4993	4091	3511	5874	3043	3281	2730	2662
Phatr3_J42774	2043	2554	2027	1463	30	50	2193	1886	79	406
Phatr3_J17504	14831	16525	13100	11093	3710	5096	16877	16315	13805	16104
Phatr3_J31846	2220	2485	2731	1932	471	622	1649	1886	875	1765
Phatr3_EG01835	1	1	0	1	0	7	1	0	1	0
Phatr3_J42776	1972	2229	2148	1655	1895	2200	2164	2083	2548	2560
Phatr3_J1358	2334	2676	2817	1993	2521	2742	1806	2022	2009	2390
Phatr3_J42778	1203	1326	1820	1354	1508	1623	995	1201	1055	1417
Phatr3_J42779	418	541	832	529	130	123	349	502	154	367
Phatr3_EG01761	530	659	993	698	654	920	338	486	416	551
Phatr3_J42781	1661	1859	1635	1293	1185	1555	1475	1393	726	1200
Phatr3_EG02459	686	789	1108	628	962	1341	456	500	419	639
Phatr3_EG02460	3256	3666	3809	2884	1111	1533	2746	3105	1281	2279
Phatr3_EG02174	47144	56886	65505	43379	13929	17904	39556	35563	26425	46248
Phatr3_J53980	93	101	94	75	342	325	240	241	3563	3656
Phatr3_J9171	2792	3073	3328	2578	2283	3256	2469	2863	2223	3127
Phatr3_J42786	4346	4663	4193	3354	1313	1230	3217	3221	1320	2933
Phatr3_J42787	6503	7512	7856	5275	1888	2743	4244	4173	1113	2279
Phatr3_J31861	358	366	449	275	133	29	256	266	88	57
Phatr3_J42788	8371	8851	8093	6371	3266	3434	5858	6096	1374	2472
Phatr3_J9475	1022	1061	862	662	560	599	829	753	345	544
Phatr3_J42790	3308	3840	4261	3054	1139	1647	2696	2720	996	1661
Phatr3_J42791	1298	1404	1540	1248	2109	2356	993	1238	1293	1783
Phatr3_J31866	852	1183	1172	604	559	783	809	721	484	678
Phatr3_J9147	361	449	672	359	518	236	274	315	153	90
Phatr3_J42793	1253	1641	1916	1046	1510	1892	1309	1297	738	800
Phatr3_J42794	693	674	491	468	644	1095	876	627	497	293
Phatr3_EG01860	0	0	0	0	0	0	0	0	0	0
Phatr3_J31870	406	515	530	318	109	151	386	338	85	203
Phatr3_J17519	4	5	1	2	2	0	1	6	2	0
Phatr3_EG01864	27	24	9	18	15	21	35	29	13	18
Phatr3_J17523	1315	1504	772	632	107	197	1481	1304	250	463
Phatr3_J9233	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01867	0	0	0	0	0	0	0	0	0	0
Phatr3_J31874	0	0	0	0	0	0	0	0	0	0
Phatr3_J31875	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01748	0	0	0	0	0	0	0	0	0	0
Phatr3_J31876	0	0	0	0	0	0	0	0	0	0
Phatr3_J31877	0	0	0	0	0	0	0	0	0	0
EPrPhatr3G00000013117	42	52	28	32	5	11	83	39	5	13
Phatr3_J31878	556	666	972	443	744	907	539	647	2424	2950
Phatr3_J31879	1393	1549	861	701	549	706	1608	1092	660	970
Phatr3_EG01824	1083	1340	1381	846	1638	2415	1086	976	1056	1306
Phatr3_J42799	1311	1501	1946	1244	1491	1551	1356	1330	1137	1151
Phatr3_J31881	5	1	3	0	0	0	1	1	0	0
Phatr3_J8691	437	439	494	361	593	933	307	295	429	525
Phatr3_J42800	941	1068	795	628	767	954	711	513	555	763
Phatr3_J17531	39764	44805	49562	36790	5561	7241	34869	33525	14645	24410
Phatr3_J8747	1397	1608	2013	1190	838	994	1130	1088	698	1295
Phatr3_J9246	1120	1319	1068	804	339	343	1366	1119	248	436
Phatr3_J9601	1106	1230	1248	953	1120	1400	1155	1087	961	1317
Phatr3_J31888	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01767	0	0	0	0	0	0	1	0	0	0
Phatr3_J8859	1900	2188	2488	1531	3209	2938	1736	1723	2300	2136
Phatr3_J9554	1213	1512	1407	1022	828	1113	1109	1130	672	1044
Phatr3_J17545	446	262	165	387	69	78	389	888	55	113
Phatr3_EG01886	2	1	0	2	0	0	0	0	0	3
Phatr3_J42807	1247	1445	1700	1294	905	1216	1050	1128	823	1548
Phatr3_J42808	1589	1703	945	749	213	293	918	823	283	556
Phatr3_EG01816	3	1	2	1	0	4	2	0	5	3
Phatr3_J42809	1674	1753	1670	1183	774	727	1535	1264	614	1441
Phatr3_J9020	234	284	281	198	361	488	214	194	241	332
Phatr3_EG02411	1026	1227	1363	855	1206	1488	844	911	535	789
Phatr3_EG01839	0	0	0	0	0	0	0	0	0	0
Phatr3_J31898	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01813	0	0	0	0	0	0	0	0	0	0
Phatr3_J8996	3500	3675	3256	2597	5116	3839	3324	3665	3709	2755
Phatr3_J31900	226	272	599	360	129	150	146	201	75	145
Phatr3_EG01760	2095	2429	1965	1440	2146	2517	1843	1894	1377	1729
Phatr3_J42815	994	1006	1304	907	281	394	782	807	642	584
Phatr3_J42816	889	1040	1525	864	16204	21491	640	666	11652	8221
Phatr3_EG01881	74	51	48	103	55	108	47	102	56	65
Phatr3_J42817	306	338	572	372	307	412	245	234	176	280
Phatr3_J42818	1722	1915	1927	1377	734	854	1330	1562	502	696
Phatr3_J31906	2007	2133	1854	1454	3278	4693	1505	1378	1522	1848
Phatr3_J42820	562	736	976	614	838	1095	585	670	731	917
Phatr3_J17555	1334	1581	1237	789	687	999	1218	1078	546	794
Phatr3_J42822	816	923	942	615	260	239	652	592	167	249
Phatr3_EG02177	899	852	1082	771	913	1116	823	923	730	989
Phatr3_EG02179	492	506	696	426	969	1074	333	323	637	647
Phatr3_EG01849	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01840	358	380	274	240	294	341	372	316	238	341
Phatr3_EG01844	880	1090	1582	892	572	500	861	913	507	466
Phatr3_J42824	1025	1103	1259	834	2827	2733	1798	1619	4293	4729
Phatr3_EG01823	0	0	0	0	0	0	0	0	1	1
Phatr3_J31912	0	0	0	0	0	0	0	0	0	0
Phatr3_EG01856	0	0	0	0	0	0	0	0	0	0
Phatr3_J42825	0	0	2	0	1	2	1	0	13	15
Phatr3_J42826	2019	2386	2657	1629	971	675	1776	1773	456	509
Phatr3_J42827	954	1174	1392	804	1256	1750	883	1049	1418	1700
Phatr3_J42828	1073	1318	1534	1160	2188	3485	869	774	1401	1880
