Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
HQ10E1_1	63.26091455426417	52.0	149.25301847269293	9.090909090909092	23530029.0	
HQ10E1_2	62.94998830057856	52.0	149.2660692428386	9.090909090909092	23530029.0	0.5474756924955454
HQ10E2_1	63.85684537807145	52.0	149.4186715738991	9.090909090909092	26665947.0	
HQ10E2_2	62.62854335859937	52.0	149.34891654138517	9.090909090909092	26665947.0	0.45235180720393586
HQE1_1	63.66132321493139	52.0	149.36157406572718	9.090909090909092	26512438.0	
HQE1_2	62.679775206977986	52.0	149.33504700699348	9.090909090909092	26512438.0	0.4820942228490269
HQE2_1	59.41340167816334	52.0	148.90684946571088	9.090909090909092	19314543.0	
HQE2_2	58.64918130061253	52.0	148.89543387073667	9.090909090909092	19314543.0	0.7835136706009829
HQ_ST1_1	59.64871516740508	50.0	149.02464650599907	9.090909090909092	18251512.0	
HQ_ST1_2	58.556562820215206	50.0	148.9913413748954	9.090909090909092	18251512.0	0.7264646258103525
HQ_ST2_1	64.19180024762966	51.0	149.05258845724185	9.090909090909092	22457856.0	
HQ_ST2_2	63.49006212479658	51.0	149.02729227580764	9.090909090909092	22457856.0	0.7060152211800294
PWE1_1	61.468199203625595	52.0	149.21606027867395	9.090909090909092	22340372.0	
PWE1_2	59.544540128194086	52.0	149.1508836558317	9.090909090909092	22340372.0	0.607942484875641
PWE2_1	64.3651280755308	52.0	148.8753732340489	9.090909090909092	22944718.0	
PWE2_2	64.02917906618237	52.0	148.86374646225767	9.090909090909092	22944718.0	0.8536865229253399
PW_ST1_1	65.84165364653063	51.0	149.18779190881705	9.090909090909092	21229232.0	
PW_ST1_2	65.09673318001444	51.0	149.1709509792912	9.090909090909092	21229232.0	0.622781087686059
PW_ST2_1	68.15793402712143	51.0	149.16960047421313	9.090909090909092	26067604.0	
PW_ST2_2	66.72228113965937	51.0	149.14193617487823	9.090909090909092	26067604.0	0.6138234072131334
